Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
50269,Trine,PC,2009.0,Genre,Action
50270,Far Cry 2,X360,2008.0,Genre,Action
50271,Far Cry 2,PS3,2008.0,Genre,Action
50272,Far Cry 2,PC,2008.0,Genre,Action
50273,Oil Rush,PC,2012.0,Genre,Strategy
50274,Psychonauts,XB,2005.0,Genre,Platform
50275,Psychonauts,PS2,2005.0,Genre,Platform
50276,Dead Island,X360,2011.0,Genre,Action
50277,Dead Island,PS3,2011.0,Genre,Action
50278,Dead Island,PC,2011.0,Genre,Action
50279,GRID 2,PS3,2013.0,Genre,Racing
50280,GRID 2,X360,2013.0,Genre,Racing
50281,GRID 2,PC,2013.0,Genre,Racing
50282,Sonic & All-Stars Racing Transformed,X360,2012.0,Genre,Racing
50283,Sonic & All-Stars Racing Transformed,WiiU,2012.0,Genre,Racing
50284,Sonic & All-Stars Racing Transformed,PS3,2012.0,Genre,Racing
50285,Sonic & All-Stars Racing Transformed,PSV,2012.0,Genre,Racing
50286,Sonic & All-Stars Racing Transformed,3DS,2012.0,Genre,Racing
50287,Sonic & All-Stars Racing Transformed,PC,2013.0,Genre,Racing
50288,Prison Architect,PS4,2016.0,Genre,Action
50289,Prison Architect,XOne,2016.0,Genre,Action
50290,Valkyria Chronicles,PS3,2008.0,Genre,Role-Playing
50291,Valkyria Chronicles,PS4,2016.0,Genre,Role-Playing
50292,The Crew,PS4,2014.0,Genre,Racing
50293,The Crew,XOne,2014.0,Genre,Racing
50294,The Crew,X360,2014.0,Genre,Racing
50295,The Crew,PC,2014.0,Genre,Racing
50296,Sonic Generations,PS3,2011.0,Genre,Platform
50297,Sonic Generations,X360,2011.0,Genre,Platform
50298,Sonic Generations,3DS,2011.0,Genre,Platform
50299,Sonic Generations,PC,2011.0,Genre,Platform
50300,Dungeon Defenders,PC,2011.0,Genre,Role-Playing
50301,TERA,PC,,Genre,Role-Playing
50302,Mafia II,X360,2010.0,Genre,Action
50303,Mafia II,PS3,2010.0,Genre,Action
50304,Mafia II,PC,2010.0,Genre,Action
50305,APB Reloaded,PC,2011.0,Genre,Role-Playing
50306,Deadpool,PS3,2013.0,Genre,Action
50307,Deadpool,X360,2013.0,Genre,Action
50308,Deadpool,PS4,2015.0,Genre,Action
50309,Deadpool,XOne,2015.0,Genre,Action
50310,Counter-Strike,XB,2003.0,Genre,Shooter
50311,Project CARS,PS4,2015.0,Genre,Racing
50312,Project CARS,XOne,2015.0,Genre,Racing
50313,Project CARS,PC,2015.0,Genre,Racing
50314,World of Goo,PC,2008.0,Genre,Puzzle
50315,Machinarium,PC,2009.0,Genre,Adventure
50316,Braid,PC,2009.0,Genre,Platform
50317,Botanicula,PC,2012.0,Genre,Adventure
50318,Terraria,X360,2013.0,Genre,Action
50319,Terraria,PS3,2013.0,Genre,Action
50320,Terraria,PC,2011.0,Genre,Action
50321,Terraria,PSV,2013.0,Genre,Action
50322,Terraria,3DS,2016.0,Genre,Action
50323,Terraria,PS4,2014.0,Genre,Action
50324,Terraria,XOne,2014.0,Genre,Action
50325,Terraria,WiiU,2016.0,Genre,Action
50326,Saints Row 2,X360,2008.0,Genre,Action
50327,Saints Row 2,PS3,2008.0,Genre,Action
50328,Saints Row 2,PC,2009.0,Genre,Action
50329,GRID,PS3,2008.0,Genre,Racing
