Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
150560,Dishonored,PC,2012.0,Global_Sales,0.51
150561,Dishonored,PS4,2015.0,Global_Sales,0.39
150562,Dishonored,XOne,2015.0,Global_Sales,0.15
150563,Dead Space,PS3,2008.0,Global_Sales,2.0
150564,Dead Space,X360,2008.0,Global_Sales,1.4
150565,Dead Space,PC,2008.0,Global_Sales,0.59
150566,The Binding of Isaac,PC,2012.0,Global_Sales,0.03
150567,LEGO The Lord of the Rings,X360,2012.0,Global_Sales,1.23
150568,LEGO The Lord of the Rings,PS3,2012.0,Global_Sales,1.05
150569,LEGO The Lord of the Rings,Wii,2012.0,Global_Sales,0.9
150570,LEGO The Lord of the Rings,3DS,2012.0,Global_Sales,0.39
150571,LEGO The Lord of the Rings,PSV,2012.0,Global_Sales,0.28
150572,LEGO The Lord of the Rings,PC,2012.0,Global_Sales,0.22
150573,LEGO The Lord of the Rings,DS,2012.0,Global_Sales,0.13
150574,Goat Simulator,XOne,2016.0,Global_Sales,0.01
150575,Mass Effect,X360,2007.0,Global_Sales,2.91
150576,Mass Effect,PC,2008.0,Global_Sales,0.67
150577,DiRT Showdown,X360,2012.0,Global_Sales,0.23
150578,DiRT Showdown,PS3,2012.0,Global_Sales,0.18
150579,Borderlands 2,X360,2012.0,Global_Sales,3.05
150580,Borderlands 2,PS3,2012.0,Global_Sales,2.23
150581,Borderlands 2,PC,2012.0,Global_Sales,0.93
150582,Borderlands 2,PSV,2014.0,Global_Sales,0.64
150583,Trine,PC,2009.0,Global_Sales,0.01
150584,Far Cry 2,X360,2008.0,Global_Sales,1.59
150585,Far Cry 2,PS3,2008.0,Global_Sales,1.38
150586,Far Cry 2,PC,2008.0,Global_Sales,0.48
150587,Oil Rush,PC,2012.0,Global_Sales,0.02
150588,Psychonauts,XB,2005.0,Global_Sales,0.12
150589,Psychonauts,PS2,2005.0,Global_Sales,0.09
150590,Dead Island,X360,2011.0,Global_Sales,2.37
150591,Dead Island,PS3,2011.0,Global_Sales,2.27
150592,Dead Island,PC,2011.0,Global_Sales,0.22
150593,GRID 2,PS3,2013.0,Global_Sales,0.37
150594,GRID 2,X360,2013.0,Global_Sales,0.27
150595,GRID 2,PC,2013.0,Global_Sales,0.06
150596,Sonic & All-Stars Racing Transformed,X360,2012.0,Global_Sales,0.58
150597,Sonic & All-Stars Racing Transformed,WiiU,2012.0,Global_Sales,0.51
150598,Sonic & All-Stars Racing Transformed,PS3,2012.0,Global_Sales,0.49
150599,Sonic & All-Stars Racing Transformed,PSV,2012.0,Global_Sales,0.38
150600,Sonic & All-Stars Racing Transformed,3DS,2012.0,Global_Sales,0.29
150601,Sonic & All-Stars Racing Transformed,PC,2013.0,Global_Sales,0.01
150602,Prison Architect,PS4,2016.0,Global_Sales,0.03
150603,Prison Architect,XOne,2016.0,Global_Sales,0.01
150604,Valkyria Chronicles,PS3,2008.0,Global_Sales,1.27
150605,Valkyria Chronicles,PS4,2016.0,Global_Sales,0.2
150606,The Crew,PS4,2014.0,Global_Sales,1.72
150607,The Crew,XOne,2014.0,Global_Sales,0.64
150608,The Crew,X360,2014.0,Global_Sales,0.22
150609,The Crew,PC,2014.0,Global_Sales,0.16
150610,Sonic Generations,PS3,2011.0,Global_Sales,1.58
150611,Sonic Generations,X360,2011.0,Global_Sales,1.38
150612,Sonic Generations,3DS,2011.0,Global_Sales,1.02
150613,Sonic Generations,PC,2011.0,Global_Sales,0.11
150614,Dungeon Defenders,PC,2011.0,Global_Sales,0.02
150615,TERA,PC,,Global_Sales,0.42
150616,Mafia II,X360,2010.0,Global_Sales,1.55
150617,Mafia II,PS3,2010.0,Global_Sales,1.49
150618,Mafia II,PC,2010.0,Global_Sales,0.4
150619,APB Reloaded,PC,2011.0,Global_Sales,0.04
150620,Deadpool,PS3,2013.0,Global_Sales,0.45
150621,Deadpool,X360,2013.0,Global_Sales,0.43
150622,Deadpool,PS4,2015.0,Global_Sales,0.29
150623,Deadpool,XOne,2015.0,Global_Sales,0.12
150624,Counter-Strike,XB,2003.0,Global_Sales,1.11
150625,Project CARS,PS4,2015.0,Global_Sales,1.09
150626,Project CARS,XOne,2015.0,Global_Sales,0.26
150627,Project CARS,PC,2015.0,Global_Sales,0.13
150628,World of Goo,PC,2008.0,Global_Sales,0.04
150629,Machinarium,PC,2009.0,Global_Sales,0.11
150630,Braid,PC,2009.0,Global_Sales,0.03
150631,Botanicula,PC,2012.0,Global_Sales,0.03
150632,Terraria,X360,2013.0,Global_Sales,0.67
150633,Terraria,PS3,2013.0,Global_Sales,0.41
150634,Terraria,PC,2011.0,Global_Sales,0.14
150635,Terraria,PSV,2013.0,Global_Sales,0.1
150636,Terraria,3DS,2016.0,Global_Sales,0.09
150637,Terraria,PS4,2014.0,Global_Sales,0.07
150638,Terraria,XOne,2014.0,Global_Sales,0.04
150639,Terraria,WiiU,2016.0,Global_Sales,0.03
150640,Saints Row 2,X360,2008.0,Global_Sales,3.03
150641,Saints Row 2,PS3,2008.0,Global_Sales,1.68
150642,Saints Row 2,PC,2009.0,Global_Sales,0.04
150643,GRID,PS3,2008.0,Global_Sales,1.1
150644,GRID,X360,2008.0,Global_Sales,0.87
150645,GRID,DS,,Global_Sales,0.05
150646,GRID,PC,,Global_Sales,0.04
150647,Darksiders,X360,2010.0,Global_Sales,1.06
150648,Darksiders,PC,2010.0,Global_Sales,0.15
150649,Darksiders,PS3,2010.0,Global_Sales,0.02
150650,Worms Reloaded,PC,2010.0,Global_Sales,0.05
150651,Alan Wake,X360,2010.0,Global_Sales,1.33
150652,Alan Wake,PC,2012.0,Global_Sales,0.06
150653,Peggle Nights,PC,2008.0,Global_Sales,0.02
150654,Puzzler World 2,DS,2010.0,Global_Sales,0.11
150655,Bejeweled 3,DS,,Global_Sales,0.33
150656,Bejeweled 3,PS3,,Global_Sales,0.14
150657,Bejeweled 3,X360,,Global_Sales,0.14
150658,Bejeweled 3,PC,2010.0,Global_Sales,0.08
150659,The Book of Unwritten Tales,PC,2009.0,Global_Sales,0.1
150660,The Movies,PC,2005.0,Global_Sales,0.04
150661,The Testament of Sherlock Holmes,PS3,2012.0,Global_Sales,0.24
150662,The Testament of Sherlock Holmes,PC,2012.0,Global_Sales,0.07
150663,The Testament of Sherlock Holmes,X360,2012.0,Global_Sales,0.02
150664,Indigo Prophecy,PS2,2005.0,Global_Sales,0.15
150665,Indigo Prophecy,XB,2005.0,Global_Sales,0.1
150666,Indigo Prophecy,PC,2005.0,Global_Sales,0.02
150667,DiRT 2,PS3,2009.0,Global_Sales,0.99
150668,DiRT 2,X360,2009.0,Global_Sales,0.8
150669,DiRT 2,Wii,2009.0,Global_Sales,0.37
150670,DiRT 2,PSP,2009.0,Global_Sales,0.32
150671,DiRT 2,DS,2009.0,Global_Sales,0.12
150672,DiRT 2,PC,2009.0,Global_Sales,0.05
