Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
117122,Dishonored,PC,2012.0,JP_Sales,0.0
117123,Dishonored,PS4,2015.0,JP_Sales,0.02
117124,Dishonored,XOne,2015.0,JP_Sales,0.0
117125,Dead Space,PS3,2008.0,JP_Sales,0.0
117126,Dead Space,X360,2008.0,JP_Sales,0.0
117127,Dead Space,PC,2008.0,JP_Sales,0.0
117128,The Binding of Isaac,PC,2012.0,JP_Sales,0.0
117129,LEGO The Lord of the Rings,X360,2012.0,JP_Sales,0.0
117130,LEGO The Lord of the Rings,PS3,2012.0,JP_Sales,0.0
117131,LEGO The Lord of the Rings,Wii,2012.0,JP_Sales,0.0
117132,LEGO The Lord of the Rings,3DS,2012.0,JP_Sales,0.0
117133,LEGO The Lord of the Rings,PSV,2012.0,JP_Sales,0.0
117134,LEGO The Lord of the Rings,PC,2012.0,JP_Sales,0.0
117135,LEGO The Lord of the Rings,DS,2012.0,JP_Sales,0.0
117136,Goat Simulator,XOne,2016.0,JP_Sales,0.0
117137,Mass Effect,X360,2007.0,JP_Sales,0.03
117138,Mass Effect,PC,2008.0,JP_Sales,0.0
117139,DiRT Showdown,X360,2012.0,JP_Sales,0.0
117140,DiRT Showdown,PS3,2012.0,JP_Sales,0.0
117141,Borderlands 2,X360,2012.0,JP_Sales,0.04
117142,Borderlands 2,PS3,2012.0,JP_Sales,0.1
117143,Borderlands 2,PC,2012.0,JP_Sales,0.0
117144,Borderlands 2,PSV,2014.0,JP_Sales,0.01
117145,Trine,PC,2009.0,JP_Sales,0.0
117146,Far Cry 2,X360,2008.0,JP_Sales,0.02
117147,Far Cry 2,PS3,2008.0,JP_Sales,0.01
117148,Far Cry 2,PC,2008.0,JP_Sales,0.0
117149,Oil Rush,PC,2012.0,JP_Sales,0.0
117150,Psychonauts,XB,2005.0,JP_Sales,0.0
117151,Psychonauts,PS2,2005.0,JP_Sales,0.0
117152,Dead Island,X360,2011.0,JP_Sales,0.0
117153,Dead Island,PS3,2011.0,JP_Sales,0.15
117154,Dead Island,PC,2011.0,JP_Sales,0.0
117155,GRID 2,PS3,2013.0,JP_Sales,0.01
117156,GRID 2,X360,2013.0,JP_Sales,0.0
117157,GRID 2,PC,2013.0,JP_Sales,0.0
117158,Sonic & All-Stars Racing Transformed,X360,2012.0,JP_Sales,0.0
117159,Sonic & All-Stars Racing Transformed,WiiU,2012.0,JP_Sales,0.02
117160,Sonic & All-Stars Racing Transformed,PS3,2012.0,JP_Sales,0.01
117161,Sonic & All-Stars Racing Transformed,PSV,2012.0,JP_Sales,0.0
117162,Sonic & All-Stars Racing Transformed,3DS,2012.0,JP_Sales,0.0
117163,Sonic & All-Stars Racing Transformed,PC,2013.0,JP_Sales,0.0
117164,Prison Architect,PS4,2016.0,JP_Sales,0.0
