Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
83697,LEGO The Lord of the Rings,DS,2012.0,NA_Sales,0.0
83698,Goat Simulator,XOne,2016.0,NA_Sales,0.0
83699,Mass Effect,X360,2007.0,NA_Sales,1.83
83700,Mass Effect,PC,2008.0,NA_Sales,0.0
83701,DiRT Showdown,X360,2012.0,NA_Sales,0.08
83702,DiRT Showdown,PS3,2012.0,NA_Sales,0.02
83703,Borderlands 2,X360,2012.0,NA_Sales,1.89
83704,Borderlands 2,PS3,2012.0,NA_Sales,1.05
83705,Borderlands 2,PC,2012.0,NA_Sales,0.42
83706,Borderlands 2,PSV,2014.0,NA_Sales,0.32
83707,Trine,PC,2009.0,NA_Sales,0.0
83708,Far Cry 2,X360,2008.0,NA_Sales,0.71
83709,Far Cry 2,PS3,2008.0,NA_Sales,0.43
83710,Far Cry 2,PC,2008.0,NA_Sales,0.01
83711,Oil Rush,PC,2012.0,NA_Sales,0.0
83712,Psychonauts,XB,2005.0,NA_Sales,0.09
83713,Psychonauts,PS2,2005.0,NA_Sales,0.05
83714,Dead Island,X360,2011.0,NA_Sales,1.48
83715,Dead Island,PS3,2011.0,NA_Sales,1.08
83716,Dead Island,PC,2011.0,NA_Sales,0.12
83717,GRID 2,PS3,2013.0,NA_Sales,0.07
83718,GRID 2,X360,2013.0,NA_Sales,0.08
83719,GRID 2,PC,2013.0,NA_Sales,0.0
83720,Sonic & All-Stars Racing Transformed,X360,2012.0,NA_Sales,0.2
83721,Sonic & All-Stars Racing Transformed,WiiU,2012.0,NA_Sales,0.19
83722,Sonic & All-Stars Racing Transformed,PS3,2012.0,NA_Sales,0.08
83723,Sonic & All-Stars Racing Transformed,PSV,2012.0,NA_Sales,0.09
83724,Sonic & All-Stars Racing Transformed,3DS,2012.0,NA_Sales,0.12
83725,Sonic & All-Stars Racing Transformed,PC,2013.0,NA_Sales,0.0
83726,Prison Architect,PS4,2016.0,NA_Sales,0.01
83727,Prison Architect,XOne,2016.0,NA_Sales,0.01
83728,Valkyria Chronicles,PS3,2008.0,NA_Sales,0.71
83729,Valkyria Chronicles,PS4,2016.0,NA_Sales,0.07
83730,The Crew,PS4,2014.0,NA_Sales,0.35
83731,The Crew,XOne,2014.0,NA_Sales,0.25
83732,The Crew,X360,2014.0,NA_Sales,0.06
83733,The Crew,PC,2014.0,NA_Sales,0.0
83734,Sonic Generations,PS3,2011.0,NA_Sales,0.6
83735,Sonic Generations,X360,2011.0,NA_Sales,0.71
83736,Sonic Generations,3DS,2011.0,NA_Sales,0.44
83737,Sonic Generations,PC,2011.0,NA_Sales,0.02
83738,Dungeon Defenders,PC,2011.0,NA_Sales,0.02
83739,TERA,PC,,NA_Sales,0.25
83740,Mafia II,X360,2010.0,NA_Sales,0.85
83741,Mafia II,PS3,2010.0,NA_Sales,0.5
83742,Mafia II,PC,2010.0,NA_Sales,0.17
83743,APB Reloaded,PC,2011.0,NA_Sales,0.02
83744,Deadpool,PS3,2013.0,NA_Sales,0.23
83745,Deadpool,X360,2013.0,NA_Sales,0.26
