Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
250898,Far Cry 2,X360,2008.0,Rating,M
250899,Far Cry 2,PS3,2008.0,Rating,M
250900,Far Cry 2,PC,2008.0,Rating,M
250902,Psychonauts,XB,2005.0,Rating,T
250903,Psychonauts,PS2,2005.0,Rating,T
250904,Dead Island,X360,2011.0,Rating,M
250905,Dead Island,PS3,2011.0,Rating,M
250906,Dead Island,PC,2011.0,Rating,M
250907,GRID 2,PS3,2013.0,Rating,E
250908,GRID 2,X360,2013.0,Rating,E
250909,GRID 2,PC,2013.0,Rating,E
250916,Prison Architect,PS4,2016.0,Rating,M
250918,Valkyria Chronicles,PS3,2008.0,Rating,T
250920,The Crew,PS4,2014.0,Rating,T
250921,The Crew,XOne,2014.0,Rating,T
250922,The Crew,X360,2014.0,Rating,T
250923,The Crew,PC,2014.0,Rating,T
250924,Sonic Generations,PS3,2011.0,Rating,E
250925,Sonic Generations,X360,2011.0,Rating,E
250926,Sonic Generations,3DS,2011.0,Rating,E
250927,Sonic Generations,PC,2011.0,Rating,E
250928,Dungeon Defenders,PC,2011.0,Rating,E10+
250929,TERA,PC,,Rating,M
250930,Mafia II,X360,2010.0,Rating,M
250931,Mafia II,PS3,2010.0,Rating,M
250932,Mafia II,PC,2010.0,Rating,M
250933,APB Reloaded,PC,2011.0,Rating,M
250934,Deadpool,PS3,2013.0,Rating,M
250935,Deadpool,X360,2013.0,Rating,M
250936,Deadpool,PS4,2015.0,Rating,M
250937,Deadpool,XOne,2015.0,Rating,M
250938,Counter-Strike,XB,2003.0,Rating,M
250939,Project CARS,PS4,2015.0,Rating,E
250940,Project CARS,XOne,2015.0,Rating,E
250941,Project CARS,PC,2015.0,Rating,E
250942,World of Goo,PC,2008.0,Rating,E
250944,Braid,PC,2009.0,Rating,E10+
250946,Terraria,X360,2013.0,Rating,T
250947,Terraria,PS3,2013.0,Rating,T
250948,Terraria,PC,2011.0,Rating,T
250949,Terraria,PSV,2013.0,Rating,T
250950,Terraria,3DS,2016.0,Rating,T
250951,Terraria,PS4,2014.0,Rating,T
250952,Terraria,XOne,2014.0,Rating,T
250953,Terraria,WiiU,2016.0,Rating,T
250954,Saints Row 2,X360,2008.0,Rating,M
250955,Saints Row 2,PS3,2008.0,Rating,M
250956,Saints Row 2,PC,2009.0,Rating,M
250957,GRID,PS3,2008.0,Rating,E
250958,GRID,X360,2008.0,Rating,E
250959,GRID,DS,,Rating,E
250960,GRID,PC,,Rating,E
250961,Darksiders,X360,2010.0,Rating,M
250962,Darksiders,PC,2010.0,Rating,M
250963,Darksiders,PS3,2010.0,Rating,M
250964,Worms Reloaded,PC,2010.0,Rating,E10+
250965,Alan Wake,X360,2010.0,Rating,T
250966,Alan Wake,PC,2012.0,Rating,T
250967,Peggle Nights,PC,2008.0,Rating,E
250968,Puzzler World 2,DS,2010.0,Rating,E
250969,Bejeweled 3,DS,,Rating,E
250970,Bejeweled 3,PS3,,Rating,E
250971,Bejeweled 3,X360,,Rating,E
250972,Bejeweled 3,PC,2010.0,Rating,E
250973,The Book of Unwritten Tales,PC,2009.0,Rating,T
250974,The Movies,PC,2005.0,Rating,T
250975,The Testament of Sherlock Holmes,PS3,2012.0,Rating,M
250976,The Testament of Sherlock Holmes,PC,2012.0,Rating,M
250977,The Testament of Sherlock Holmes,X360,2012.0,Rating,M
250978,Indigo Prophecy,PS2,2005.0,Rating,M
250979,Indigo Prophecy,XB,2005.0,Rating,M
250980,Indigo Prophecy,PC,2005.0,Rating,M
250981,DiRT 2,PS3,2009.0,Rating,T
250982,DiRT 2,X360,2009.0,Rating,T
250983,DiRT 2,Wii,2009.0,Rating,E10+
250984,DiRT 2,PSP,2009.0,Rating,E10+
250985,DiRT 2,DS,2009.0,Rating,E
250986,DiRT 2,PC,2009.0,Rating,T
250987,4 Elements,PC,2009.0,Rating,E
250988,Singularity,X360,,Rating,M
250989,Singularity,PS3,,Rating,M
250990,Singularity,PC,2010.0,Rating,M
250991,CID The Dummy,PSP,2009.0,Rating,E10+
250992,CID The Dummy,Wii,2009.0,Rating,E10+
250993,The Wolf Among Us,PS4,2014.0,Rating,M
250995,The Wolf Among Us,XOne,2014.0,Rating,M
250996,The Wolf Among Us,PSV,2014.0,Rating,M
250999,Half-Life,PC,1997.0,Rating,M
251000,Half-Life,PS2,2001.0,Rating,M
251001,Trine 2,PC,2011.0,Rating,E10+
251003,Blur,PS3,2010.0,Rating,E10+
251004,Blur,X360,2010.0,Rating,E10+
251005,Blur,PC,2010.0,Rating,E10+
251006,Magicka,PC,2011.0,Rating,T
251007,The Longest Journey,PC,1999.0,Rating,M
251008,Sid Meier's Civilization IV,PC,2005.0,Rating,E10+
251010,Just Cause,X360,2006.0,Rating,M
251011,Just Cause,PC,2006.0,Rating,M
251012,Just Cause,PS2,2006.0,Rating,M
251014,Sniper Elite V2,PS3,2012.0,Rating,M
251015,Sniper Elite V2,X360,2012.0,Rating,M
251016,Sniper Elite V2,WiiU,2013.0,Rating,M
251017,Stronghold 3,PC,2011.0,Rating,T
251018,Mass Effect 2,X360,2010.0,Rating,M
251019,Mass Effect 2,PS3,2011.0,Rating,M
251020,Mass Effect 2,PC,2010.0,Rating,M
251021,Borderlands,X360,2009.0,Rating,M
251022,Borderlands,PS3,2009.0,Rating,M
251023,Borderlands,PC,2009.0,Rating,M
251024,EVE Online,PC,2003.0,Rating,T
251025,DC Universe Online,PS3,2011.0,Rating,T
251026,DC Universe Online,PC,2011.0,Rating,T
251027,RIFT,PC,2011.0,Rating,T
251028,Darksiders II,PS3,2012.0,Rating,M
251029,Darksiders II,X360,2012.0,Rating,M
251031,Darksiders II,PC,2012.0,Rating,M
251032,Darksiders II,WiiU,2012.0,Rating,M
251034,Anno 2070,PC,2011.0,Rating,T
251035,Chessmaster,PS2,2003.0,Rating,E
251036,Chessmaster,XB,2004.0,Rating,E
251037,Chessmaster,GBA,2002.0,Rating,E
251040,Torchlight,PC,2009.0,Rating,T
251041,Titan Quest,PC,2006.0,Rating,T
251042,Duke Nukem Forever,X360,2011.0,Rating,M
