Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
100416,LEGO The Lord of the Rings,DS,2012.0,EU_Sales,0.12
100417,Goat Simulator,XOne,2016.0,EU_Sales,0.01
100418,Mass Effect,X360,2007.0,EU_Sales,0.79
100419,Mass Effect,PC,2008.0,EU_Sales,0.59
100420,DiRT Showdown,X360,2012.0,EU_Sales,0.13
100421,DiRT Showdown,PS3,2012.0,EU_Sales,0.12
100422,Borderlands 2,X360,2012.0,EU_Sales,0.88
100423,Borderlands 2,PS3,2012.0,EU_Sales,0.72
100424,Borderlands 2,PC,2012.0,EU_Sales,0.41
100425,Borderlands 2,PSV,2014.0,EU_Sales,0.16
100426,Trine,PC,2009.0,EU_Sales,0.01
100427,Far Cry 2,X360,2008.0,EU_Sales,0.69
100428,Far Cry 2,PS3,2008.0,EU_Sales,0.69
100429,Far Cry 2,PC,2008.0,EU_Sales,0.45
100430,Oil Rush,PC,2012.0,EU_Sales,0.02
100431,Psychonauts,XB,2005.0,EU_Sales,0.03
100432,Psychonauts,PS2,2005.0,EU_Sales,0.04
100433,Dead Island,X360,2011.0,EU_Sales,0.69
100434,Dead Island,PS3,2011.0,EU_Sales,0.73
100435,Dead Island,PC,2011.0,EU_Sales,0.07
100436,GRID 2,PS3,2013.0,EU_Sales,0.22
100437,GRID 2,X360,2013.0,EU_Sales,0.16
100438,GRID 2,PC,2013.0,EU_Sales,0.06
100439,Sonic & All-Stars Racing Transformed,X360,2012.0,EU_Sales,0.33
100440,Sonic & All-Stars Racing Transformed,WiiU,2012.0,EU_Sales,0.26
100441,Sonic & All-Stars Racing Transformed,PS3,2012.0,EU_Sales,0.3
100442,Sonic & All-Stars Racing Transformed,PSV,2012.0,EU_Sales,0.2
100443,Sonic & All-Stars Racing Transformed,3DS,2012.0,EU_Sales,0.14
100444,Sonic & All-Stars Racing Transformed,PC,2013.0,EU_Sales,0.01
100445,Prison Architect,PS4,2016.0,EU_Sales,0.01
100446,Prison Architect,XOne,2016.0,EU_Sales,0.0
100447,Valkyria Chronicles,PS3,2008.0,EU_Sales,0.19
100448,Valkyria Chronicles,PS4,2016.0,EU_Sales,0.05
100449,The Crew,PS4,2014.0,EU_Sales,1.08
100450,The Crew,XOne,2014.0,EU_Sales,0.34
100451,The Crew,X360,2014.0,EU_Sales,0.14
100452,The Crew,PC,2014.0,EU_Sales,0.15
100453,Sonic Generations,PS3,2011.0,EU_Sales,0.69
100454,Sonic Generations,X360,2011.0,EU_Sales,0.53
100455,Sonic Generations,3DS,2011.0,EU_Sales,0.47
100456,Sonic Generations,PC,2011.0,EU_Sales,0.07
100457,Dungeon Defenders,PC,2011.0,EU_Sales,0.0
100458,TERA,PC,,EU_Sales,0.12
100459,Mafia II,X360,2010.0,EU_Sales,0.55
100460,Mafia II,PS3,2010.0,EU_Sales,0.69
100461,Mafia II,PC,2010.0,EU_Sales,0.17
100462,APB Reloaded,PC,2011.0,EU_Sales,0.01
100463,Deadpool,PS3,2013.0,EU_Sales,0.14
100464,Deadpool,X360,2013.0,EU_Sales,0.13
100465,Deadpool,PS4,2015.0,EU_Sales,0.11
100466,Deadpool,XOne,2015.0,EU_Sales,0.03
100467,Counter-Strike,XB,2003.0,EU_Sales,0.23
