Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
33992,World of Zoo,PC,2009.0,numberOfObservances,2.0
33993,Descent,PS,1996.0,numberOfObservances,3.0
33994,Sonic CD,SCD,1993.0,numberOfObservances,7.0
33995,Tom Clancy's Splinter Cell,XB,2002.0,numberOfObservances,7.0
33996,Tom Clancy's Splinter Cell,PS2,2003.0,numberOfObservances,7.0
33997,Tom Clancy's Splinter Cell,GC,2003.0,numberOfObservances,7.0
33998,Tom Clancy's Splinter Cell,GBA,2003.0,numberOfObservances,7.0
33999,Take On Helicopters,PC,2011.0,numberOfObservances,7.0
34000,Railroad Tycoon 3,PC,2003.0,numberOfObservances,5.0
34001,DarkStar One,PC,2006.0,numberOfObservances,3.0
34002,Rayman Origins,PS3,2011.0,numberOfObservances,10.0
34003,Rayman Origins,X360,2011.0,numberOfObservances,10.0
34004,Rayman Origins,Wii,2011.0,numberOfObservances,10.0
34005,Rayman Origins,PSV,2012.0,numberOfObservances,10.0
34006,Rayman Origins,3DS,2012.0,numberOfObservances,10.0
34007,Rayman Origins,PC,2012.0,numberOfObservances,10.0
34008,Order of War,PC,2009.0,numberOfObservances,15.0
34009,War for the Overworld,PC,2015.0,numberOfObservances,11.0
34010,Assassin's Creed Syndicate,PS4,2015.0,numberOfObservances,3.0
34011,Assassin's Creed Syndicate,XOne,2015.0,numberOfObservances,3.0
34012,Assassin's Creed Syndicate,PC,2015.0,numberOfObservances,3.0
34013,The Bard's Tale,PS2,2004.0,numberOfObservances,6.0
34014,The Bard's Tale,XB,2004.0,numberOfObservances,6.0
34015,Demigod,PC,2009.0,numberOfObservances,11.0
34016,F1 2010,PS3,2010.0,numberOfObservances,6.0
34017,F1 2010,X360,2010.0,numberOfObservances,6.0
34018,F1 2010,PC,2010.0,numberOfObservances,6.0
34019,Mechanic Escape,PS3,2012.0,numberOfObservances,6.0
34020,The Inner World,PC,2013.0,numberOfObservances,1.0
34021,Age of Empires Online,PC,2011.0,numberOfObservances,8.0
34022,Act of Aggression,PC,2015.0,numberOfObservances,4.0
34023,Port Royale 3,PS3,,numberOfObservances,11.0
34024,Port Royale 3,X360,,numberOfObservances,11.0
34025,F1 2015,PS4,2015.0,numberOfObservances,6.0
34026,F1 2015,XOne,2015.0,numberOfObservances,6.0
34027,F1 2015,PC,2015.0,numberOfObservances,6.0
34028,Stronghold Legends,PC,2006.0,numberOfObservances,6.0
34029,Dragon Age II,X360,2011.0,numberOfObservances,5.0
34030,Dragon Age II,PS3,2011.0,numberOfObservances,5.0
34031,Dragon Age II,PC,2011.0,numberOfObservances,5.0
34032,F1 2011,PS3,2011.0,numberOfObservances,5.0
34033,F1 2011,X360,2011.0,numberOfObservances,5.0
34034,F1 2011,PC,2011.0,numberOfObservances,5.0
34035,F1 2011,3DS,2011.0,numberOfObservances,5.0
34036,F1 2011,PSV,2011.0,numberOfObservances,5.0
34037,Quake 4,X360,2005.0,numberOfObservances,4.0
34038,Quake 4,PC,2005.0,numberOfObservances,4.0
34039,Sacred 3,PS3,2014.0,numberOfObservances,6.0
34040,Sacred 3,X360,2014.0,numberOfObservances,6.0
34041,Sacred 3,PC,2014.0,numberOfObservances,6.0
34042,Front Mission Evolved,PS3,2010.0,numberOfObservances,7.0
34043,Front Mission Evolved,X360,2010.0,numberOfObservances,7.0
34044,Front Mission Evolved,PC,2010.0,numberOfObservances,7.0
34045,Quake,N64,1998.0,numberOfObservances,8.0
34046,DiRT,PS3,2007.0,numberOfObservances,2.0
34047,DiRT,X360,2007.0,numberOfObservances,2.0
34048,DiRT,PC,2007.0,numberOfObservances,2.0
34049,Fairy Fencer F,PS3,2013.0,numberOfObservances,4.0
34050,Rugby League Team Manager 2015,PC,2015.0,numberOfObservances,2.0
34051,MLB Front Office Manager,PS3,2009.0,numberOfObservances,3.0
34052,MLB Front Office Manager,X360,2009.0,numberOfObservances,3.0
34053,Guilty Gear X2 #Reload,XB,2004.0,numberOfObservances,2.0
34054,Euro Truck Simulator,PC,2008.0,numberOfObservances,8.0
34055,Pro Evolution Soccer 2016,PS4,2015.0,numberOfObservances,3.0
34056,Pro Evolution Soccer 2016,PS3,2015.0,numberOfObservances,3.0
34057,Pro Evolution Soccer 2016,XOne,2015.0,numberOfObservances,3.0
34058,Pro Evolution Soccer 2016,X360,2015.0,numberOfObservances,3.0
34059,Pro Evolution Soccer 2016,PC,2015.0,numberOfObservances,3.0
34060,Emergency 2012,PC,2010.0,numberOfObservances,1.0
34061,Emergency 2012,DS,2010.0,numberOfObservances,1.0
34062,Cities XL 2011,PC,2010.0,numberOfObservances,7.0
34063,Terminator Salvation,PS3,2009.0,numberOfObservances,1.0
34064,Terminator Salvation,X360,2009.0,numberOfObservances,1.0
34065,World in Conflict,PC,2007.0,numberOfObservances,2.0
34066,Unreal Tournament 2004,PC,2004.0,numberOfObservances,11.0
34067,Max Payne,PS2,2001.0,numberOfObservances,16.0
34068,Max Payne,XB,2001.0,numberOfObservances,16.0
34069,Max Payne,GBA,2003.0,numberOfObservances,16.0
34070,Max Payne,PC,2001.0,numberOfObservances,16.0
34071,Platypus,PSP,2006.0,numberOfObservances,2.0
34072,Knights of Honor,PC,2004.0,numberOfObservances,6.0
34073,Virtua Tennis 4,PS3,2011.0,numberOfObservances,2.0
34074,Virtua Tennis 4,X360,2011.0,numberOfObservances,2.0
34075,Virtua Tennis 4,Wii,2011.0,numberOfObservances,2.0
34076,Virtua Tennis 4,PC,2011.0,numberOfObservances,2.0
34077,NBA 2K13,X360,2012.0,numberOfObservances,6.0
34078,NBA 2K13,PS3,2012.0,numberOfObservances,6.0
34079,NBA 2K13,Wii,2012.0,numberOfObservances,6.0
34080,NBA 2K13,WiiU,2012.0,numberOfObservances,6.0
34081,NBA 2K13,PC,2012.0,numberOfObservances,6.0
34082,F1 Race Stars,PS3,2012.0,numberOfObservances,4.0
34083,F1 Race Stars,X360,2012.0,numberOfObservances,4.0
34084,F1 Race Stars,PC,2012.0,numberOfObservances,4.0
34085,Darkspore,PC,2011.0,numberOfObservances,6.0
34086,Silent Hunter III,PC,2005.0,numberOfObservances,6.0
34087,Grand Theft Auto 2,PS,1998.0,numberOfObservances,6.0
34088,Mafia,PS2,2004.0,numberOfObservances,4.0
34089,Mafia,XB,2004.0,numberOfObservances,4.0
34090,Mafia,PC,2002.0,numberOfObservances,4.0
34091,Blades of Time,X360,2012.0,numberOfObservances,6.0
34092,Blades of Time,PS3,2012.0,numberOfObservances,6.0
34093,The 7th Guest,PC,1992.0,numberOfObservances,2.0
34094,Dungeons 2,PS4,2016.0,numberOfObservances,6.0
34095,Hotel Giant 2,PC,2008.0,numberOfObservances,1.0
34096,East India Company,PC,2009.0,numberOfObservances,1.0
34097,Crysis 2,X360,2011.0,numberOfObservances,7.0
34098,Crysis 2,PS3,2011.0,numberOfObservances,7.0
34099,Crysis 2,PC,2011.0,numberOfObservances,7.0
34100,Contrast,PC,2013.0,numberOfObservances,2.0
34101,TimeShift,X360,2007.0,numberOfObservances,3.0
34102,TimeShift,PS3,2007.0,numberOfObservances,3.0
34103,TimeShift,PC,2007.0,numberOfObservances,3.0
34104,Tomb Raider Chronicles,PS,1999.0,numberOfObservances,1.0
34105,MDK,PS,1997.0,numberOfObservances,1.0
34106,The Void,PC,2008.0,numberOfObservances,4.0
34107,Arx Fatalis,XB,2003.0,numberOfObservances,5.0
34108,Dark Void,PS3,2010.0,numberOfObservances,1.0
34109,Dark Void,X360,2010.0,numberOfObservances,1.0
34110,Dark Void,PC,2010.0,numberOfObservances,1.0
34111,Ship Simulator Extremes,PC,2010.0,numberOfObservances,3.0
34112,Lost Horizon,PC,2010.0,numberOfObservances,3.0
34113,The Next BIG Thing,PC,2011.0,numberOfObservances,2.0
34114,Enemy Front,PS3,2014.0,numberOfObservances,5.0
34115,Enemy Front,X360,2014.0,numberOfObservances,5.0
34116,Street Fighter X Tekken,PS3,2012.0,numberOfObservances,4.0
34117,Street Fighter X Tekken,X360,2012.0,numberOfObservances,4.0
34118,Street Fighter X Tekken,PSV,2012.0,numberOfObservances,4.0
34119,Street Fighter X Tekken,PC,2012.0,numberOfObservances,4.0
34120,Wolfenstein 3D,GBA,2002.0,numberOfObservances,3.0
34121,FlatOut,PS2,2004.0,numberOfObservances,8.0
34122,FlatOut,XB,2004.0,numberOfObservances,8.0
34123,Stormrise,PS3,2009.0,numberOfObservances,4.0
34124,Stormrise,X360,2009.0,numberOfObservances,4.0
34125,Stormrise,PC,2009.0,numberOfObservances,4.0
34126,Anno 2205,PC,2015.0,numberOfObservances,1.0
34127,Hospital Tycoon,PC,2007.0,numberOfObservances,5.0
34128,Crazy Taxi,PS2,2001.0,numberOfObservances,1.0
34129,Crazy Taxi,DC,2000.0,numberOfObservances,1.0
34130,Crazy Taxi,GC,2001.0,numberOfObservances,1.0
34131,Section 8,X360,2009.0,numberOfObservances,3.0
34132,Section 8,PC,2009.0,numberOfObservances,3.0
34133,The Golf Club,PS4,2014.0,numberOfObservances,2.0
34134,The Golf Club,XOne,2014.0,numberOfObservances,2.0
34135,Dollar Dash,PS2,2005.0,numberOfObservances,1.0
34136,Shadow Man,N64,1999.0,numberOfObservances,1.0
34137,Shadow Man,PS,1998.0,numberOfObservances,1.0
34138,Stubbs the Zombie in Rebel Without a Pulse,XB,2005.0,numberOfObservances,2.0
34139,Red Faction II,PS2,2002.0,numberOfObservances,3.0
34140,Red Faction II,XB,2003.0,numberOfObservances,3.0
34141,Red Faction II,GC,2003.0,numberOfObservances,3.0
34142,Beyond Good & Evil,PS2,2003.0,numberOfObservances,3.0
34143,Beyond Good & Evil,XB,2003.0,numberOfObservances,3.0
