Unnamed: 0,Name,Platform,Year_of_Release,Variable,Value
200744,Oil Rush,PC,2012.0,User_Score,6.5
200745,Psychonauts,XB,2005.0,User_Score,9
200746,Psychonauts,PS2,2005.0,User_Score,8.7
200747,Dead Island,X360,2011.0,User_Score,6.9
200748,Dead Island,PS3,2011.0,User_Score,6.6
200749,Dead Island,PC,2011.0,User_Score,6.8
200750,GRID 2,PS3,2013.0,User_Score,6.6
200751,GRID 2,X360,2013.0,User_Score,5.8
200752,GRID 2,PC,2013.0,User_Score,5.7
200759,Prison Architect,PS4,2016.0,User_Score,8
200760,Prison Architect,XOne,2016.0,User_Score,6.7
200761,Valkyria Chronicles,PS3,2008.0,User_Score,8.6
200763,The Crew,PS4,2014.0,User_Score,5.4
200764,The Crew,XOne,2014.0,User_Score,5.9
200765,The Crew,X360,2014.0,User_Score,6.4
200766,The Crew,PC,2014.0,User_Score,6.4
200767,Sonic Generations,PS3,2011.0,User_Score,8.2
200768,Sonic Generations,X360,2011.0,User_Score,8.3
200769,Sonic Generations,3DS,2011.0,User_Score,6.9
200770,Sonic Generations,PC,2011.0,User_Score,8.3
200771,Dungeon Defenders,PC,2011.0,User_Score,7.3
200772,TERA,PC,,User_Score,6.8
200773,Mafia II,X360,2010.0,User_Score,7.8
200774,Mafia II,PS3,2010.0,User_Score,7.7
200775,Mafia II,PC,2010.0,User_Score,7.9
200776,APB Reloaded,PC,2011.0,User_Score,5.7
200777,Deadpool,PS3,2013.0,User_Score,7.2
200778,Deadpool,X360,2013.0,User_Score,7.4
200779,Deadpool,PS4,2015.0,User_Score,5.7
200780,Deadpool,XOne,2015.0,User_Score,5.7
200781,Counter-Strike,XB,2003.0,User_Score,7.6
200782,Project CARS,PS4,2015.0,User_Score,6.6
200783,Project CARS,XOne,2015.0,User_Score,5.8
200784,Project CARS,PC,2015.0,User_Score,7.1
200785,World of Goo,PC,2008.0,User_Score,8.5
200786,Machinarium,PC,2009.0,User_Score,8.8
200787,Braid,PC,2009.0,User_Score,8.6
200788,Botanicula,PC,2012.0,User_Score,8.3
200789,Terraria,X360,2013.0,User_Score,7.2
200790,Terraria,PS3,2013.0,User_Score,7.9
200791,Terraria,PC,2011.0,User_Score,8.5
200792,Terraria,PSV,2013.0,User_Score,7.8
200793,Terraria,3DS,2016.0,User_Score,7.1
200794,Terraria,PS4,2014.0,User_Score,7.9
200795,Terraria,XOne,2014.0,User_Score,7.7
200796,Terraria,WiiU,2016.0,User_Score,6.9
200797,Saints Row 2,X360,2008.0,User_Score,8.1
200798,Saints Row 2,PS3,2008.0,User_Score,7.9
200799,Saints Row 2,PC,2009.0,User_Score,6.8
200800,GRID,PS3,2008.0,User_Score,8.1
200801,GRID,X360,2008.0,User_Score,7.9
200802,GRID,DS,,User_Score,8.1
200803,GRID,PC,,User_Score,7.9
200804,Darksiders,X360,2010.0,User_Score,7.9
200805,Darksiders,PC,2010.0,User_Score,7.8
200806,Darksiders,PS3,2010.0,User_Score,7.9
200807,Worms Reloaded,PC,2010.0,User_Score,6.8
200808,Alan Wake,X360,2010.0,User_Score,8.1
200809,Alan Wake,PC,2012.0,User_Score,8
200810,Peggle Nights,PC,2008.0,User_Score,8.1
200811,Puzzler World 2,DS,2010.0,User_Score,tbd
200812,Bejeweled 3,DS,,User_Score,tbd
200813,Bejeweled 3,PS3,,User_Score,8.2
200814,Bejeweled 3,X360,,User_Score,8.4
200815,Bejeweled 3,PC,2010.0,User_Score,8.1
200816,The Book of Unwritten Tales,PC,2009.0,User_Score,8.2
200817,The Movies,PC,2005.0,User_Score,8.3
200818,The Testament of Sherlock Holmes,PS3,2012.0,User_Score,7.4
200819,The Testament of Sherlock Holmes,PC,2012.0,User_Score,8
200820,The Testament of Sherlock Holmes,X360,2012.0,User_Score,7.6
200821,Indigo Prophecy,PS2,2005.0,User_Score,7.8
200822,Indigo Prophecy,XB,2005.0,User_Score,7.7
200823,Indigo Prophecy,PC,2005.0,User_Score,8.3
200824,DiRT 2,PS3,2009.0,User_Score,8.2
200825,DiRT 2,X360,2009.0,User_Score,8.2
200826,DiRT 2,Wii,2009.0,User_Score,5.5
200827,DiRT 2,PSP,2009.0,User_Score,5.7
200828,DiRT 2,DS,2009.0,User_Score,tbd
200829,DiRT 2,PC,2009.0,User_Score,8.2
200830,4 Elements,PC,2009.0,User_Score,7.4
200831,Singularity,X360,,User_Score,7.7
200832,Singularity,PS3,,User_Score,7.7
200833,Singularity,PC,2010.0,User_Score,7.7
200834,CID The Dummy,PSP,2009.0,User_Score,tbd
200835,CID The Dummy,Wii,2009.0,User_Score,tbd
200836,The Wolf Among Us,PS4,2014.0,User_Score,8.4
200837,The Wolf Among Us,PS3,2014.0,User_Score,8.2
200838,The Wolf Among Us,XOne,2014.0,User_Score,8.5
200839,The Wolf Among Us,PSV,2014.0,User_Score,8.4
200840,The Wolf Among Us,X360,2011.0,User_Score,7.7
200842,Half-Life,PC,1997.0,User_Score,9.1
200843,Half-Life,PS2,2001.0,User_Score,8.6
200844,Trine 2,PC,2011.0,User_Score,8.4
200846,Blur,PS3,2010.0,User_Score,8.2
200847,Blur,X360,2010.0,User_Score,8.3
200848,Blur,PC,2010.0,User_Score,7.4
200849,Magicka,PC,2011.0,User_Score,7.6
200850,The Longest Journey,PC,1999.0,User_Score,8.9
200851,Sid Meier's Civilization IV,PC,2005.0,User_Score,8.3
200852,Euro Truck Simulator 2,PC,2012.0,User_Score,8.7
200853,Just Cause,X360,2006.0,User_Score,7.2
200854,Just Cause,PC,2006.0,User_Score,7.3
200855,Just Cause,PS2,2006.0,User_Score,7.9
200857,Sniper Elite V2,PS3,2012.0,User_Score,6.9
200858,Sniper Elite V2,X360,2012.0,User_Score,6.8
200859,Sniper Elite V2,WiiU,2013.0,User_Score,5.8
200860,Stronghold 3,PC,2011.0,User_Score,3
200861,Mass Effect 2,X360,2010.0,User_Score,8.9
200862,Mass Effect 2,PS3,2011.0,User_Score,8.5
200863,Mass Effect 2,PC,2010.0,User_Score,8.8
200864,Borderlands,X360,2009.0,User_Score,8.2
200865,Borderlands,PS3,2009.0,User_Score,7.9
200866,Borderlands,PC,2009.0,User_Score,7.8
200867,EVE Online,PC,2003.0,User_Score,7.5
200868,DC Universe Online,PS3,2011.0,User_Score,7.4
200869,DC Universe Online,PC,2011.0,User_Score,6.8
200870,RIFT,PC,2011.0,User_Score,7.3
200871,Darksiders II,PS3,2012.0,User_Score,7.1
200872,Darksiders II,X360,2012.0,User_Score,8
200874,Darksiders II,PC,2012.0,User_Score,7.8
200875,Darksiders II,WiiU,2012.0,User_Score,8.2
200877,Anno 2070,PC,2011.0,User_Score,7
200878,Chessmaster,PS2,2003.0,User_Score,7.3
200879,Chessmaster,XB,2004.0,User_Score,9
200880,Chessmaster,GBA,2002.0,User_Score,tbd
200882,Trapped Dead,PC,2011.0,User_Score,4.7
200883,Torchlight,PC,2009.0,User_Score,8
200884,Titan Quest,PC,2006.0,User_Score,8.1
200885,Duke Nukem Forever,X360,2011.0,User_Score,4.4
200886,Duke Nukem Forever,PS3,2011.0,User_Score,4.9
200887,Duke Nukem Forever,PC,2011.0,User_Score,5.7
200888,Company of Heroes 2,PC,2013.0,User_Score,2.1
200889,Battlefield 2,PC,2005.0,User_Score,8.4
200890,Men of War,PC,2009.0,User_Score,8.1
200891,Full Spectrum Warrior,XB,2004.0,User_Score,8.7
200892,Full Spectrum Warrior,PS2,2005.0,User_Score,8
200893,DiRT Rally,PS4,2016.0,User_Score,8.1
200894,DiRT Rally,XOne,2016.0,User_Score,8
200895,DiRT Rally,PC,2016.0,User_Score,8.7
200896,Defiance,X360,2013.0,User_Score,7.2
200897,Defiance,PS3,2013.0,User_Score,6.9
200898,Defiance,PC,2013.0,User_Score,6.5
200899,Tropico 5,PS4,2015.0,User_Score,7.1
200900,Tropico 5,PC,2014.0,User_Score,7
200901,Tropico 5,X360,2014.0,User_Score,7.2
200902,Football Manager 2013,PC,2012.0,User_Score,6.7
200903,Two Worlds II,X360,2011.0,User_Score,6.6
200904,Two Worlds II,PS3,2011.0,User_Score,7
